appId,title,developer,developerId,released,score,ratings,installs,free,price,currency,offersInAppPurchases,inAppProductPrice,containsAds,updated,version,genre,genreId,contentRating,contentRatingDescription,summary,url,most_liked_review,most_liked_review_score,most_liked_review_date,most_disliked_review,most_disliked_review_score,most_disliked_review_date,discovered_from_category,discovered_query,price_bucket,installs_clean,revenue_proxy
com.myfitnesspal.android,MyFitnessPal: Calorie Counter,"MyFitnessPal, Inc.","MyFitnessPal,+Inc.",2010-04-26,4.3848004,2850496,"100,000,000+",True,0,USD,True,$0.99 - $99.99 per item,True,2025-09-01 14:38:46,Varies with device,Health & Fitness,HEALTH_AND_FITNESS,Everyone,Not provided,"Monitor and track your macros, nutrition, macro tracking, and meal planning",https://play.google.com/store/apps/details?id=com.myfitnesspal.android&hl=en&gl=us,"I love this app. I have been using just the free version for several years. It is a great aide for mindful nutrition, weight management, and identifying food allergies. The barcode scanner makes tracking foods easy. It tracks nutrients, and pops up alerts if you are getting near or go over your goal limit. Update: I'm using this again after gaining pregnancy weight. It is great still, but I am frustrated that the barcode scanner for the food diary isn't free anymore.",1,2025-08-11T20:57:26,I recently came back to this app after being away for a bit. Had so many issues just setting it up but the biggest disappointment is seeing the scanning barcode ability behind a paywall. Would definitely rate higher if I could still use the scanning but there are other options out there that don't charge for scanning so this just seems like a money grab to me.,1.0,2025-08-11T20:57:26,HEALTH_AND_FITNESS,health and fitness apps,Free,100000000,0
org.thoughtcrime.securesms,Signal Private Messenger,Signal Foundation,Signal+Foundation,2010-05-25,4.5493217,2746231,"100,000,000+",True,0,USD,True,$1.99 per item,False,2025-08-25 21:40:53,7.54.1,Communication,COMMUNICATION,Everyone,Not provided,Say “hello” to privacy.,https://play.google.com/store/apps/details?id=org.thoughtcrime.securesms&hl=en&gl=us,"It's encrypted end-to-end by default. It's free (made by a nonprofit). It's not owned by FB, G, or any other big ad pusher. And it does text, voice, and video. (Missing feature: ""Mark as Unread""; I find I often take a quick peek at a message and find that it requires a lengthy reply that I didn't have time to write at the moment, but then forget to come back to it until much later.)",5,2025-01-13T23:57:11,"Military preferred. Not great, but standardized. It seems like the encryption slows down it's performance. There are times when we have a message sent to us and the next day we say ""No Sergeant, we didn't receive anything."" Then 20 minutes later we all hear our phones chime at the same time for the late message. Then phone calls will not work properly. Usually we hang up and try via our non-encrypted apps which work just fine. This app also doesn't like hands free driving. (Still the same.)",1.0,2024-10-10T23:37:20,COMMUNICATION,communication apps,Free,100000000,0
com.google.android.apps.messaging,Google Messages,Google LLC,5700313618786177705,2014-11-12,4.5870676,33393004,"5,000,000,000+",True,0,USD,False,No In App Product Price info,False,2025-09-02 20:24:39,Varies with device,Communication,COMMUNICATION,Everyone,Not provided,"Simple, helpful messaging by Google",https://play.google.com/store/apps/details?id=com.google.android.apps.messaging&hl=en&gl=us,"I'm having the same issues as other have stated with google messages not working properly. blank screens, pictures won't attached. it's terrible. i will uninstall and reinstall, but I also absolutely hate the new way of attaching pictures. Much more difficult to use, labor intensive, the pictures sometimes scroll by super fast, sometimes you can't get to all of them. Please put it back to the way it was. It's super frustrating",1,2025-08-13T21:35:23,"I miss Samsung Messages. As others have said, I don't like how you attach pictures. In Samsung Messages, attaching a picture from the gallery & taking a new picture to send inside the Messages app were separate options, & I think it's much better that way. There are other bugs. Sometimes, I'll hit send, & the text will then show above in the thread but will also not be deleted from the outbox. Mostly, I HATE that I can't customize to match the rest of my phone. Let me make it cute, Google!",2.0,2025-08-19T09:51:25,COMMUNICATION,communication apps,Free,5000000000,0
com.beint.zangi,Zangi Private Messenger,"Secret Phone, Inc","Secret+Phone,+Inc",2014-11-18,4.3446565,195182,"10,000,000+",True,0,USD,True,$1.49 - $59.99 per item,False,2025-09-02 16:35:09,6.3.4,Communication,COMMUNICATION,Everyone,Not provided,"<b>BE PRIVATE</b>
Anonymous. No Trace. Fast.",https://play.google.com/store/apps/details?id=com.beint.zangi&hl=en&gl=us,"Issues with people I let on, more than the service. Have had couple of scammers, once they have your number they never quit. Had to get several accounts to get rid of them, blocking doesn't work. Maybe a restrict instead of block? They think they are connected but are not. Otherwise a great app. 5stars despite my problems. Just have to be mire careful I guess.",5,2025-05-24T19:16:14,"used it for calls EU - Russia. worked but with a bit of drawbacks: e.g alert of the incoming call is not showing up on the screen. the ring is there but no way to answer unless you know it's Zangi (it's not obvious) , open the application and then you can answer. today the app stopped connecting: it's hangs up on ""answering"" step and then drops off(. do not recommend",1.0,2025-08-31T15:55:19,COMMUNICATION,communication apps,Free,10000000,0
com.facebook.orca,Messenger,"Meta Platforms, Inc.","Meta+Platforms,+Inc.",2014-01-30,4.6932015,106382968,"5,000,000,000+",True,0,USD,True,$0.05 - $399.99 per item,False,2025-09-03 16:16:30,522.0.0.58.109,Communication,COMMUNICATION,Everyone,Not provided,Useful. Social. Expressive.,https://play.google.com/store/apps/details?id=com.facebook.orca&hl=en&gl=us,It works as described. I haven't had a lot of issues with it other than sometimes messages show up as just the chat bubble. it's like it doesn't load properly. If I close the app and reopen it the messages usually show up. Calling works fairly well. As long as you have strong Wi-Fi and/or data it seems to be fairly consistent. Sometimes the call gets choppy but I think that has more to do with the signal than the app itself.,5,2025-07-23T02:01:17,"I have been having to force stop and reopen this app dozens of times a day for MONTHS. When I search a chat for something in the past, I can no longer go back to that part of the conversation, it just hangs. When I try to save a photo from a chat, I get a ""couldn't save image"" error. If I try to share a photo from a chat, I get ""Sorry, something went wrong. please try again"". The absolute worst, by far.",1.0,2025-08-14T04:35:46,COMMUNICATION,communication apps,Free,5000000000,0
org.telegram.messenger,Telegram,Telegram FZ-LLC,Telegram+FZ-LLC,2013-09-06,4.097086,16074913,"1,000,000,000+",True,0,USD,True,$0.31 - $289.99 per item,False,2025-08-31 21:21:05,12.0.0,Communication,COMMUNICATION,Mature 17+,Not provided,Telegram is a messaging app with a focus on speed and security.,https://play.google.com/store/apps/details?id=org.telegram.messenger&hl=en&gl=us,"Edit: this is still a premium only feature, and it shouldn't be! So wrong!! I get so many unwanted messages, but I can't do anything about it because of this. It's just not right! Great app for the most part, but when I got a spam message this morning, I realized you cannot set privacy of who can message you without paying for premium. This should be a free setting ALWAYS!! Forcing users to pay to protect their privacy is sketchy, at best.",3,2024-12-28T22:02:23,"update: 8/19/25. still not working! It's the actual telegram ""stories"" at the top that is frozen.(not contacts) So there is no holding in place to try to remove, so I can't use or see the top 2 chats I need..... Need to fix the stories now at top. It hides and covers all the top conversations so I can't click on them and can't remove the stories easily. please make this so you can hide it or remove the stories you don't want to see and don't want to be forced to have to watch them all.",2.0,2025-08-19T21:01:48,COMMUNICATION,communication apps,Free,1000000000,0
com.booking,Booking.com: Hotels & Travel,Booking.com Hotels & Vacation Rentals,8601716327451933581,2011-02-04,4.809388,5147487,"500,000,000+",True,0,USD,False,No In App Product Price info,False,2025-09-05 07:08:44,Varies with device,Travel & Local,TRAVEL_AND_LOCAL,Everyone,Not provided,Book your whole trip in one app.,https://play.google.com/store/apps/details?id=com.booking&hl=en&gl=us,"EDIT: A few weeks later and my messages still are not working! Contacting a living person working for Booking for help is either not possible, or obscured by layers and layers of automatic answers which I really have no time to go through. For a long long time I am unable to view messages. Even on the other phone, it is impossible. I get email notifications, i see 5 new messages in the app, but no chats are showing.",1,2025-07-02T23:08:01,"EDIT: A few weeks later and my messages still are not working! Contacting a living person working for Booking for help is either not possible, or obscured by layers and layers of automatic answers which I really have no time to go through. For a long long time I am unable to view messages. Even on the other phone, it is impossible. I get email notifications, i see 5 new messages in the app, but no chats are showing.",1.0,2025-07-02T23:08:01,TRAVEL,travel apps,Free,500000000,0
com.tripadvisor.tripadvisor,Tripadvisor: Plan & Book Trips,Tripadvisor,Tripadvisor,2010-07-12,4.4716144,1471475,"100,000,000+",True,0,USD,False,No In App Product Price info,True,2025-09-02 17:23:33,64.5,Travel & Local,TRAVEL_AND_LOCAL,Everyone,Not provided,"Download now and start earning rewards on hotels, tours, and everything travel.",https://play.google.com/store/apps/details?id=com.tripadvisor.tripadvisor&hl=en&gl=us,"It seems like basic functionality is missing, such as being able to copy text out of the app on my phone. I am using a Galaxy S8, so you would think that this would be easy to do. But when I select the text so that I can browse to a link, for example, I couldn't copy the text. I had to uninstall the app and browse to TripAdvisor as a web page in order to copy the text. ... if this is the only technical issue, then maybe they deserve four stars instead of the three I gave. I do like that other users post their experiences with various tips and critical reviews. This is a really good app for finding the best user-rated activities in an area, I use TripAdvisor all the time to scope out what activities are available.",1,2024-01-20T06:01:14,"I've used TripAdvisor forever to plan trips, find the best restaurants, etc. It's been my go-to source for every trip I've taken or just to discover new things to do or restaurants around me. I'm uninstalling it as of today. It is no longer user friendly at all. You have to put in a location from the start and sometimes I just know the name but not the exact location. It was a good run and I loved having the ""my trips"" saved as a timeline for me to remember my trips so I'll really miss it.",1.0,2021-06-14T04:07:43,TRAVEL,travel apps,Free,100000000,0
com.expedia.bookings,"Expedia: Hotels, Flights, Cars",Expedia,9168645875493882147,2011-05-10,4.802119,1296683,"50,000,000+",True,0,USD,False,No In App Product Price info,True,2025-09-02 14:27:02,2025.33.0,Travel & Local,TRAVEL_AND_LOCAL,Everyone,Not provided,"Book flight, car or packages. Instant access to hotel discounts & travel deals",https://play.google.com/store/apps/details?id=com.expedia.bookings&hl=en&gl=us,"Used to work fine. I tried to open it, kept getting ""Too many requests"" that would not allow me to back out. Cleared cache and data, same issue. Saw an update, updated, now I get an error about an issue on their end. I haven't used this app in a while, thought I would try it again to compare prices. Not really feeling the need to waste time with support, don't need this app that bad. If they don't care enough to have a working app, I can go elsewhere.",1,2025-02-24T05:51:01,"The app is fine, but I absolutely won't use Expedia again as their support is horrible. As other's have stated, they flat out lie and say they have contacted the hotel and the hotel wouldn't help. Contact the hotel directly and they confirm that they have received no communication from Expedia regarding the booking. Explain this to Expedia, with the hotel contact cc'd, and they just keep sending the same generic email back, ""Unfortunately, after multiple tries, we were unable...blah blah blah""",1.0,2025-08-13T04:16:02,TRAVEL,travel apps,Free,50000000,0
com.hopper.mountainview.play,"Hopper: Hotels, Flights & Cars",Hopper Inc.,Hopper+Inc.,2015-08-30,4.6053033,145842,"10,000,000+",True,0,USD,False,No In App Product Price info,False,2025-08-22 18:09:13,5.92.0,Travel & Local,TRAVEL_AND_LOCAL,Everyone,Not provided,The best way to book travel,https://play.google.com/store/apps/details?id=com.hopper.mountainview.play&hl=en&gl=us,"I really love how easy it is to compare different dates, flights, and airlines. It does a great job with the different filters when searching as well, and I love how it also tells you right from the getgo what all is included with the ticket for your flight (carry on, beverages, etc) and how upfront it is with all the prices for everything. I also love the price watch feature. I'm just overall a really big fan of the app in general, and it's my go to app when searching for flights.",1,2025-06-28T20:18:06,"Another garbage app that doesn't do what it's advertised to do. It's supposed to watch prices and notify you. If that option were ever there, it has been removed. Tech help directs you to options that don't exist. How are you to trust a company that can't even keep their app and documentation in sync? Imagine what they can do with your money. Does the word ""stranded"" concern you?",1.0,2025-08-30T03:41:33,TRAVEL,travel apps,Free,10000000,0
